year,alternative,ballad,blues,country,dance,disco,electronic,folk,funk,hip-hop,jazz,metal,new wave,r&b,reggae,rock,soul
1960,1,10,11,35,2,1,1,10,1,0,32,0,0,19,1,72,30
1961,4,3,20,27,6,1,1,7,6,0,26,1,0,19,2,59,35
1962,1,7,15,21,11,1,1,12,8,0,31,1,0,16,1,64,38
1963,4,4,16,14,8,2,1,10,8,0,25,1,0,26,4,57,40
1964,4,5,12,12,6,3,0,7,16,0,25,3,0,8,2,58,29
1965,2,2,10,10,10,0,5,20,12,1,21,3,1,19,1,70,37
1966,1,8,11,5,11,1,1,17,20,0,15,3,0,16,2,65,36
1967,6,3,12,6,3,2,1,15,12,0,13,3,0,20,1,57,40
1968,4,8,15,4,3,3,1,8,21,2,18,9,0,28,1,54,45
1969,2,8,15,12,3,3,1,11,23,3,8,4,1,18,0,64,49
1970,3,6,23,7,9,4,2,20,33,3,13,5,1,19,0,70,46
1971,4,12,15,17,8,8,3,23,23,1,8,1,0,18,0,62,39
1972,5,17,15,16,12,4,2,25,23,1,10,1,1,19,3,58,38
1973,7,11,7,15,9,7,1,14,33,2,12,6,0,21,1,64,44
1974,8,12,13,26,14,14,1,19,22,2,17,2,1,8,2,63,37
1975,5,15,14,25,9,23,5,18,22,0,10,5,1,5,1,67,32
1976,7,13,15,11,17,35,1,12,27,1,7,6,0,4,0,60,42
1977,5,24,16,14,12,23,5,16,17,0,7,4,0,4,2,70,31
1978,5,22,11,16,29,32,8,12,22,1,9,7,4,4,1,69,25
1979,6,15,7,13,30,53,9,7,20,0,5,7,4,3,0,62,31
1980,15,17,9,21,13,27,7,15,19,0,11,1,8,3,0,69,33
1981,9,22,9,17,16,14,8,14,13,2,10,6,10,6,3,71,26
1982,17,19,8,13,18,16,9,12,18,0,5,7,22,2,1,75,23
1983,19,15,4,5,27,14,16,6,12,0,5,8,44,4,5,68,23
1984,5,18,9,1,33,22,19,6,13,1,1,7,34,2,1,70,25
1985,12,23,4,2,36,13,22,5,13,0,6,4,32,10,0,67,33
1986,12,21,5,0,46,18,22,4,15,1,3,2,32,4,0,63,31
1987,15,25,10,3,36,12,20,3,10,4,4,9,23,7,0,70,25
1988,14,25,4,1,49,4,11,2,7,3,5,14,18,8,2,71,32
1989,14,24,6,3,50,8,13,0,15,9,4,17,17,13,0,61,31
1990,10,28,2,4,51,7,15,2,12,15,4,10,10,17,1,50,38
1991,11,30,4,3,50,5,19,0,7,14,4,13,3,21,2,49,42
1992,22,26,3,4,45,3,12,1,12,26,2,12,3,20,0,48,37
1993,12,18,3,2,49,5,20,3,14,23,6,6,5,30,4,35,37
1994,18,23,2,5,33,5,15,7,8,32,1,2,2,33,5,37,45
1995,21,21,3,4,38,4,16,8,7,31,2,5,2,37,5,41,44
1996,29,18,3,4,33,6,10,9,4,34,3,6,0,35,2,45,47
1997,21,19,1,4,37,7,16,7,5,34,4,2,0,42,2,35,44
1998,25,16,0,4,30,3,13,6,9,37,5,3,0,41,2,34,39
1999,25,28,1,10,31,4,8,5,4,27,2,2,0,33,2,53,37
2000,24,15,1,13,42,3,16,2,5,33,4,7,0,29,2,48,36
2001,27,13,2,14,37,0,6,4,6,40,2,11,2,35,3,38,28
2002,34,13,1,10,40,1,8,7,2,48,0,8,0,33,5,47,28
2003,28,6,5,13,36,1,4,3,3,56,4,7,0,30,5,46,34
2004,33,14,2,11,36,0,5,0,9,60,1,8,0,32,6,45,30
2005,34,11,1,3,43,0,8,3,2,62,1,8,0,35,2,54,25
2006,37,15,1,5,34,2,7,3,4,62,2,10,0,35,6,44,30
2007,35,16,1,3,39,0,7,3,4,61,2,11,0,28,2,45,27
2008,22,19,3,6,44,1,15,3,2,50,1,9,0,40,6,39,28
2009,24,10,1,11,53,4,27,7,1,45,0,10,0,32,0,42,16
2010,23,7,1,12,54,5,34,6,0,45,1,9,1,29,1,35,15
2011,15,8,2,16,51,4,35,5,2,44,1,6,1,32,3,36,19
2012,24,8,4,16,50,5,40,6,0,40,1,5,1,15,1,39,14
2013,35,7,2,18,35,3,30,10,5,30,0,6,1,21,1,37,16
