genre,artist,year,rank,song
dance,Madonna,1985,2,Like A Virgin
dance,Madonna,1990,5,Vogue
dance,Madonna,1995,8,Take A Bow
dance,Madonna,1985,9,Crazy For You
dance,Madonna,1994,13,I'll Remember
dance,Madonna,2000,17,Music
dance,Madonna,1991,21,Justify My Love
dance,Madonna,1992,21,This Used To Be My Playground
dance,Madonna,2008,23,4 Minutes
dance,Madonna,1989,25,Like A Prayer
dance,Madonna,1986,29,Papa Don't Preach
dance,Madonna,1987,30,Open Your Heart
dance,Madonna,1998,32,Frozen
dance,Madonna,2001,34,Don't Tell Me
dance,Madonna,1984,35,Borderline
dance,Madonna,1986,35,Live To Tell
dance,Madonna,1987,42,Who's That Girl
dance,Madonna,1987,46,Causing A Commotion
dance,Madonna,1996,51,You'll See
dance,Madonna,1989,55,Express Yourself
dance,Madonna,1985,58,Material Girl
dance,Madonna,1987,58,La Isla Bonita
dance,Madonna,1989,59,Cherish
dance,Madonna,1984,66,Lucky Star
dance,Madonna,1993,66,Deeper And Deeper
dance,Madonna,1993,67,Rain
dance,Madonna,1995,71,Secret
dance,Madonna,1998,75,Ray Of Light
dance,Madonna,1986,76,True Blue
dance,Madonna,1984,79,Holiday
dance,Madonna,1985,81,Angel
dance,Madonna,1994,84,Secret
dance,Madonna,1997,87,Don't Cry For Me Argentina
dance,Madonna,2006,91,Hung Up
dance,Madonna,1985,98,Dress You Up
dance,Madonna,1997,99,You Must Love Me
dance,Rihanna,2007,2,Umbrella
dance,Rihanna,2012,8,We Found Love
dance,Rihanna,2011,12,S&M;
dance,Rihanna,2013,13,Stay
dance,Rihanna,2010,15,Rude Boy
dance,Rihanna,2008,16,Disturbia
dance,Rihanna,2008,17,Don't Stop the Music
dance,Rihanna,2005,18,Pon de Replay
dance,Rihanna,2006,19,SOS
dance,Rihanna,2011,20,What's My Name?
dance,Rihanna,2012,21,Where Have You Been
dance,Rihanna,2013,27,Diamonds
dance,Rihanna,2011,40,Only Girl (In The World)
dance,Rihanna,2010,47,Only Girl (In The World)
dance,Rihanna,2010,49,Hard
dance,Rihanna,2008,62,Hate That I Love You
dance,Rihanna,2011,69,We Found Love
dance,Rihanna,2013,70,Pour It Up
dance,Rihanna,2009,77,Disturbia
dance,Rihanna,2012,79,Birthday Cake
dance,Rihanna,2012,89,You Da One
dance,Rihanna,2007,90,Shut Up And Drive
dance,Rihanna,2012,94,Diamonds
dance,Michael Jackson,1983,2,Billie Jean
dance,Michael Jackson,1980,4,Rock With You
dance,Michael Jackson,1983,5,Beat It
dance,Michael Jackson,1992,14,Black Or White
dance,Michael Jackson,1992,19,Remember The Time
dance,Michael Jackson,1988,21,Man In The Mirror
dance,Michael Jackson,1988,36,The Way You Make Me Feel
dance,Michael Jackson,1972,41,Rockin' Robin
dance,Michael Jackson,1993,47,Will You Be There
dance,Michael Jackson,1987,59,Bad
dance,Michael Jackson,1988,61,Dirty Diana
dance,Michael Jackson,2002,64,Butterflies
dance,Michael Jackson,1992,66,In The Closet
dance,Michael Jackson,1983,68,Wanna Be Startin' Somethin'
dance,Michael Jackson,1984,78,Thriller
dance,Michael Jackson,1983,89,Human Nature
dance,Michael Jackson,1979,91,Don't Stop 'Til You Get Enough
dance,Michael Jackson,1989,93,Smooth Criminal
dance,Janet Jackson,1993,4,That's The Way Love Goes
dance,Janet Jackson,1989,5,Miss You Much
dance,Janet Jackson,1990,15,Escapade
dance,Janet Jackson,1991,19,Love Will Never Do (Without You)
dance,Janet Jackson,1993,19,If
dance,Janet Jackson,1995,29,Runaway
dance,Janet Jackson,1994,30,"Any Time, Any Place / And On And On"
dance,Janet Jackson,1986,32,When I Think Of You
dance,Janet Jackson,1987,37,Control
dance,Janet Jackson,1990,38,Rhythm Nation
dance,Janet Jackson,1986,43,What Have You Done For Me Lately
dance,Janet Jackson,1990,44,Alright
dance,Janet Jackson,1994,48,Because Of Love
dance,Janet Jackson,1990,49,Come Back To Me
dance,Janet Jackson,1986,58,Nasty
dance,Janet Jackson,1990,59,Black Cat
dance,Janet Jackson,1995,64,You Want This-70's Love Groove
dance,Janet Jackson,1996,84,Runaway
dance,Britney Spears,1999,5,...Baby One More Time
dance,Britney Spears,2009,27,Circus
dance,Britney Spears,2011,27,Till The World Ends
dance,Britney Spears,2009,39,Womanizer
dance,Britney Spears,2011,46,I Wanna Go
dance,Britney Spears,2004,48,Toxic
dance,Britney Spears,2000,55,Oops!... I Did It Again
dance,Britney Spears,2011,60,Hold It Against Me
dance,Britney Spears,2010,69,3
dance,Britney Spears,2009,74,If U Seek Amy
dance,Britney Spears,2000,77,From The Bottom Of My Broken Heart
dance,Britney Spears,2008,80,Womanizer
dance,Britney Spears,2004,83,Everytime
dance,Britney Spears,2008,83,Piece Of Me
dance,Britney Spears,1999,86,Sometimes
dance,Britney Spears,2009,87,3
dance,Mariah Carey,1995,7,Fantasy
dance,Mariah Carey,1993,8,Dreamlover
dance,Mariah Carey,1991,13,Someday
dance,Mariah Carey,2005,15,Shake it Off
dance,Mariah Carey,1994,16,Without You / Never Forget You
dance,Mariah Carey,1991,22,Emotions
dance,Mariah Carey,1997,32,Honey
dance,Mariah Carey,1999,35,Heartbreaker
dance,Mariah Carey,1992,42,Make It Happen
dance,Mariah Carey,2000,45,Thank God I Found You
dance,Mariah Carey,1996,49,Fantasy
dance,Mariah Carey,2006,50,Don't Forget About Us
dance,Mariah Carey,2005,69,It's Like That
dance,Mariah Carey,2001,80,Loverboy
dance,Mariah Carey,2013,81,#Beautiful
dance,Katy Perry,2011,3,Firework
dance,Katy Perry,2010,4,California Gurls
dance,Katy Perry,2011,4,E.T.
dance,Katy Perry,2008,14,I Kissed A Girl
dance,Katy Perry,2011,14,Last Friday Night (T.G.I.F.)
dance,Katy Perry,2012,15,Wide Awake
dance,Katy Perry,2010,17,Teenage Dream
dance,Katy Perry,2009,25,Hot n Cold
dance,Katy Perry,2012,31,Part Of Me
dance,Katy Perry,2008,36,Hot N Cold
dance,Katy Perry,2009,36,Waking Up In Vegas
