date,ave,stddev,stderr,conf
1960,155.03,25.51762332,2.551762332,5.001454171
1961,154.7979798,32.69540474,3.286011815,6.440583157
1962,157.4489796,32.96445905,3.329913218,6.526629907
1963,155.3617021,22.42047462,2.312495387,4.532490959
1964,155.2168675,23.21250608,2.547903552,4.993890962
1965,164.7865169,39.1750528,4.152547292,8.138992692
1966,170.5730337,32.19738549,3.412916036,6.689315431
1967,176.5294118,64.62335914,7.009387442,13.73839939
1968,196.1529412,76.49813621,8.297387856,16.2628802
1969,194.4352941,44.13573904,4.787193038,9.382898354
1970,209.4431818,45.73064865,4.874903526,9.554810911
1971,203.4418605,50.39416833,5.434142924,10.65092013
1972,213.3586957,65.16193566,6.793601417,13.31545878
1973,232.3406593,77.80240113,8.155907736,15.98557916
1974,220.9479167,60.52829397,6.177643134,12.10818054
1975,231.7684211,69.40687857,7.120995489,13.95715116
1976,249.6236559,107.0577087,11.10136725,21.75867981
1977,235.0947368,57.3383446,5.882790031,11.53026846
1978,247.2268041,80.26239252,8.149411245,15.97284604
1979,248.4631579,60.43923621,6.200934797,12.1538322
1980,235.0306122,67.22099619,6.790346034,13.30907823
1981,238.3052632,50.00296279,5.130195737,10.05518364
1982,235.3877551,47.57499615,4.805800341,9.419368668
1983,258.7676768,62.02098509,6.233343536,12.21735333
1984,255.96875,56.67551153,5.784420173,11.33746354
1985,258.5408163,53.08371678,5.362265158,10.51003971
1986,262.2061856,50.3144623,5.108659635,10.01297288
1987,255.9787234,43.55968728,4.492838694,8.80596384
1988,259.371134,48.32222591,4.906378677,9.616502207
1989,269.742268,48.21307483,4.895296064,9.594780285
1990,275.1145833,44.64696467,4.55676175,8.93125303
1991,269.7395833,45.10872162,4.603889622,9.023623659
1992,271.6632653,55.50619452,5.606972363,10.98966583
1993,262.21875,45.01995,4.594829407,9.005865638
1994,259.1458333,49.97832429,5.100891363,9.997747071
1995,264.16,43.95605078,4.395605078,8.615385953
1996,267.9285714,48.58408449,4.907733657,9.619157968
1997,258.7938144,40.46124228,4.108216718,8.052104767
1998,257.7659574,48.53062765,5.005552045,9.810882008
1999,255.2553191,54.30135302,5.600756921,10.97748357
2000,242.3030303,48.36173764,4.860537514,9.526653527
2001,242.3469388,33.6076103,3.394881306,6.65396736
2002,241.3814433,40.83849086,4.146520509,8.127180198
2003,247.9247312,36.81521324,3.817559776,7.482417161
2004,244.655914,41.56494973,4.310084506,8.447765632
2005,236.2626263,32.64302975,3.28074793,6.430265943
2006,233.0606061,34.75013791,3.492520268,6.845339725
2007,241.7373737,52.57156466,5.28364105,10.35593646
2008,232.7474747,29.21129691,2.935845803,5.754257774
2009,237.75,37.62615447,3.762615447,7.374726276
2010,225.3232323,42.77161059,4.298708606,8.425468868
2011,233.5454545,36.16021384,3.634238232,7.123106935
2012,225.42,27.09176259,2.709176259,5.309985468
2013,225.7113402,64.78289814,6.57770672,12.89230517
