year,rank,artist,song,duration,genre0,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,genre11,genre12,genre13,genre14,genre15,genre16
1946,1,Perry Como,Prisoner Of Love,213000,jazz,r&b,ballad,blues,soul,,,,,,,,,,,,
1946,2,Eddy Howard,To Each His Own,183000,jazz,,,,,,,,,,,,,,,,
1946,3,The Ink Spots,The Gypsy,154000,jazz,blues,r&b,rock,,,,,,,,,,,,,
1946,4,Frank Sinatra,Five Minutes More,155000,jazz,blues,rock,soul,ballad,alternative,funk,electronic,hip-hop,dance,,,,,,,
1946,5,Frankie Carle,Rumors Are Flying,173000,jazz,,,,,,,,,,,,,,,,
1946,6,Frankie Carle,Oh! What It Seemed To Be,189000,jazz,,,,,,,,,,,,,,,,
1946,7,Johnny Mercer,Personality,169000,jazz,,,,,,,,,,,,,,,,
1946,8,Bing Crosby and The Andrews Sisters,"South America, Take It Away",191000,jazz,,,,,,,,,,,,,,,,
1946,9,Dinah Shore,The Gypsy,182000,jazz,blues,metal,rock,,,,,,,,,,,,,
1946,10,Frank Sinatra,Oh! What It Seemed To Be,172000,jazz,blues,rock,soul,ballad,alternative,funk,electronic,hip-hop,dance,,,,,,,
1946,11,Perry Como,Surrender,193000,jazz,blues,soul,,,,,,,,,,,,,,
1946,12,Betty Hutton,"Doctor, Lawyer, Indian Chief",185000,jazz,blues,,,,,,,,,,,,,,,
1946,13,Vaughn Monroe,"Let It Snow, Let It Snow, Let It Snow",189000,soul,jazz,country,,,,,,,,,,,,,,
1946,14,Freddy Martin,To Each His Own,188000,jazz,,,,,,,,,,,,,,,,
1946,15,Kay Kyser,Ol' Buttermilk Sky,188000,jazz,,,,,,,,,,,,,,,,
1946,16,The Ink Spots,To Each His Own,190000,jazz,blues,r&b,rock,,,,,,,,,,,,,
1946,17,Freddy Martin,Symphony,197000,jazz,,,,,,,,,,,,,,,,
1946,18,Sammy Kaye,The Old Lamplighter,192000,jazz,,,,,,,,,,,,,,,,
1946,19,Bing Crosby and Carmen Cavallaro,I Can't Begin To Tell You,164000,,,,,,,,,,,,,,,,,
1946,20,Sammy Kaye,I'm A Big Girl Now,189000,jazz,,,,,,,,,,,,,,,,
1946,21,Bing Crosby,Symphony,165000,jazz,blues,soul,,,,,,,,,,,,,,
1946,22,Dinah Shore,Doin' What Comes Natur'lly,188000,jazz,blues,metal,rock,,,,,,,,,,,,,
1946,23,Sammy Kaye,The Gypsy,196000,jazz,,,,,,,,,,,,,,,,
1946,24,Dinah Shore,Laughing On The Outside Crying On The Inside,188000,jazz,blues,metal,rock,,,,,,,,,,,,,
1946,25,Tex Beneke and The Glenn Miller Orchestra,Five Minutes More,154000,,,,,,,,,,,,,,,,,
1946,26,Andy Russell,Laughing On The Outside Crying On The Inside,178000,jazz,,,,,,,,,,,,,,,,
1946,27,Perry Como,They Say It's Wonderful,155000,jazz,blues,soul,,,,,,,,,,,,,,
1946,28,Tex Beneke and The Glenn Miller Orchestra,Hey! Ba-Ba-Re-Bop,181000,,,,,,,,,,,,,,,,,
1946,29,Tony Martin,To Each His Own,190000,jazz,metal,rock,blues,country,soul,,,,,,,,,,,
1946,30,Les Brown,You Won't Be Satisfied Until You Break My Heart,184000,jazz,blues,hip-hop,,,,,,,,,,,,,,
1946,31,Benny Goodman,Symphony,229000,jazz,blues,,,,,,,,,,,,,,,
1946,32,Charlie Spivak,Oh! What It Seemed To Be,0,jazz,,,,,,,,,,,,,,,,
1946,33,Freddy Martin,Doin' What Comes Natur'lly,194000,jazz,,,,,,,,,,,,,,,,
1946,34,Kay Kyser,The Old Lamplighter,199000,jazz,,,,,,,,,,,,,,,,
1946,35,Dick Haymes and Helen Forrest,Oh! What It Seemed To Be,175000,,,,,,,,,,,,,,,,,
1946,36,Andrews Sisters and Les Paul Trio,Rumors Are Flying,175000,,,,,,,,,,,,,,,,,
1946,37,Perry Como,Dig You Later A Hubba-Hubba-Hubba,183000,jazz,blues,soul,,,,,,,,,,,,,,
1946,38,Jo Stafford,Symphony,150000,jazz,country,,,,,,,,,,,,,,,
1946,39,Modernaires and Paula Kelly,To Each His Own,186000,,,,,,,,,,,,,,,,,
1946,40,Bing Crosby,Sioux City Sue,168000,jazz,blues,soul,,,,,,,,,,,,,,
1947,1,Francis Craig,Near You,172000,,,,,,,,,,,,,,,,,
1947,1,Francis Craig,Near You,172000,,,,,,,,,,,,,,,,,
1947,1,Francis Craig,Near You,172000,,,,,,,,,,,,,,,,,
1947,2,The Harmonicats,Peg O' My Heart,134000,,,,,,,,,,,,,,,,,
1947,3,Ted Weems,Heartaches,164000,jazz,,,,,,,,,,,,,,,,
1947,4,Ray Noble and Buddy Clark,Linda,194000,,,,,,,,,,,,,,,,,
1947,5,Tex Williams,"Smoke, Smoke, Smoke That Cigarette",163000,country,,,,,,,,,,,,,,,,
